"case_name","warning_count","error_count","last_step","cp_line","elapsed_line"
"thom94d3_fy_base","23","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5450"," |        CP Time      (sec) =         42.797       Time  =  20:06:34          |"," |        Elapsed Time (sec) =         32.000       Date  =  03/29/2026        |"
"thom94d3_fy_base","0","1",,,
"thom94d3_fy_base","0","0",," |        CP Time      (sec) =          1.125       Time  =  19:56:46          |"," |        Elapsed Time (sec) =        231.000       Date  =  03/29/2026        |"
"thom94d3_fy_base","0","0",,,
"thom94d3_fy_base","0","0",,,
"thom94d3_fy_m10","0","0",," |        CP Time      (sec) =          0.203       Time  =  12:52:45          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_fy_m10_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         33.938       Time  =  18:21:14          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_m10_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         33.438       Time  =  18:21:14          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_m10_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         45.672       Time  =  18:21:14          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_m10","23","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5466"," |        CP Time      (sec) =         44.047       Time  =  20:05:57          |"," |        Elapsed Time (sec) =         32.000       Date  =  03/29/2026        |"
"thom94d3_fy_m20","0","0",," |        CP Time      (sec) =          0.125       Time  =  12:52:46          |"," |        Elapsed Time (sec) =          2.000       Date  =  04/02/2026        |"
"thom94d3_fy_m20_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.109       Time  =  18:23:16          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_m20_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.391       Time  =  18:23:16          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_m20_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         47.531       Time  =  18:23:16          |"," |        Elapsed Time (sec) =        123.000       Date  =  03/29/2026        |"
"thom94d3_fy_m20","24","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5488"," |        CP Time      (sec) =         41.766       Time  =  20:05:21          |"," |        Elapsed Time (sec) =         33.000       Date  =  03/29/2026        |"
"thom94d3_fy_p10","0","1",,,
"thom94d3_fy_p10_1","0","0"," *** LOAD STEP     3   SUBSTEP     6  COMPLETED.    CUM ITER =     21",,
"thom94d3_fy_p10_2","0","0"," *** LOAD STEP     3   SUBSTEP     6  COMPLETED.    CUM ITER =     21",,
"thom94d3_fy_p10_3","0","0"," *** LOAD STEP     3   SUBSTEP     6  COMPLETED.    CUM ITER =     21",,
"thom94d3_fy_p10","23","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5441"," |        CP Time      (sec) =         39.672       Time  =  20:07:09          |"," |        Elapsed Time (sec) =         30.000       Date  =  03/29/2026        |"
"thom94d3_fy_p20","0","0",," |        CP Time      (sec) =          0.094       Time  =  12:52:48          |"," |        Elapsed Time (sec) =          2.000       Date  =  04/02/2026        |"
"thom94d3_fy_p20","24","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5436"," |        CP Time      (sec) =         42.969       Time  =  20:07:45          |"," |        Elapsed Time (sec) =         32.000       Date  =  03/29/2026        |"
